Implementation;Method;listSize;Score;Score Error;Allocation Rate
JAVASLANG_TREE_MAP;getCollision;1000000;192,179;1,12;56
PCOLLECTIONS;getCollision;1;22,791;2,552;0
PCOLLECTIONS;getCollision;4;18,633;0,085;0
PCOLLECTIONS;getCollision;10;20,83;0,233;0
PCOLLECTIONS;getCollision;15;21,307;0,049;0
PCOLLECTIONS;getCollision;20;23,344;2,741;0
PCOLLECTIONS;getCollision;25;22,733;0,756;0
PCOLLECTIONS;getCollision;50;24,355;0,224;0
PCOLLECTIONS;getCollision;100;27,385;0,181;0
PCOLLECTIONS;getCollision;1000;62,619;0,536;12,144
PCOLLECTIONS;getCollision;10000;154,094;1,172;15,629
PCOLLECTIONS;getCollision;100000;233,619;2,459;15,962
PCOLLECTIONS;getCollision;1000000;549,93;104,571;15,997
CLOJURE_HASH_MAP;getDistinct;1;38,202;0,121;0
CLOJURE_HASH_MAP;getDistinct;4;36,458;0,117;0
CLOJURE_HASH_MAP;getDistinct;10;35,841;0,077;0
CLOJURE_HASH_MAP;getDistinct;15;34,978;0,101;0
CLOJURE_HASH_MAP;getDistinct;20;36,412;0,051;0
CLOJURE_HASH_MAP;getDistinct;25;36,769;0,041;0
CLOJURE_HASH_MAP;getDistinct;50;35,966;0,13;0
CLOJURE_HASH_MAP;getDistinct;100;36,379;0,049;0
CLOJURE_HASH_MAP;getDistinct;1000;45,819;0,219;0
CLOJURE_HASH_MAP;getDistinct;10000;66,513;0,251;0
CLOJURE_HASH_MAP;getDistinct;100000;92,129;5,065;0
CLOJURE_HASH_MAP;getDistinct;1000000;187,375;20,918;0
SCALA_HASH_MAP;getDistinct;1;23,255;0,102;16
SCALA_HASH_MAP;getDistinct;4;20,046;0,185;16
SCALA_HASH_MAP;getDistinct;10;19,336;0,104;16
SCALA_HASH_MAP;getDistinct;15;19,188;0,094;16
SCALA_HASH_MAP;getDistinct;20;19,617;0,22;16
SCALA_HASH_MAP;getDistinct;25;19,462;0,182;16
SCALA_HASH_MAP;getDistinct;50;30,566;0,612;16
SCALA_HASH_MAP;getDistinct;100;28,355;0,735;16
SCALA_HASH_MAP;getDistinct;1000;33,177;0,89;16
SCALA_HASH_MAP;getDistinct;10000;49,887;1,759;16
SCALA_HASH_MAP;getDistinct;100000;72,533;4,894;16
SCALA_HASH_MAP;getDistinct;1000000;237,241;59,911;16
SCALA_TREE_MAP;getDistinct;1;25,36;0,316;16
SCALA_TREE_MAP;getDistinct;4;29,315;0,786;16
SCALA_TREE_MAP;getDistinct;10;33,708;0,872;16
SCALA_TREE_MAP;getDistinct;15;34,826;0,684;16
SCALA_TREE_MAP;getDistinct;20;37,477;0,962;16
SCALA_TREE_MAP;getDistinct;25;39,18;0,975;16
